img_id,année,Resolution,Nettete,Bruit,Mean_H,mean_S,mean_V
1900-001,1900,288000,71.52143550384119,16.379088281312708,22.67320486111111,40.02352777777778,160.72703472222221
1900-002,1900,578700,66.71604098308967,16.749532042322162,0.0,0.0,119.1934197338863
1900-003,1900,426400,126.54901487693853,27.30175899297524,0.0,0.0,131.26483583489681
1900-004,1900,1199360,79.25577354827688,15.024189484178311,0.0,0.0,100.24200573639274
1900-005,1900,809984,76.39159066267584,12.764052775481963,66.5833967090708,8.063753111172566,141.3492513432364
1900-006,1900,613376,121.36165114115927,19.749099699818956,100.64074727410267,5.168196994991653,160.9812822803631
1900-007,1900,639900,117.8426243591558,33.4711139585914,19.779801531489294,18.46746835443038,125.85532895764963
1900-008,1900,718848,119.53607712906276,24.969633832480632,26.41089771412037,43.80580734731125,99.36005664618946
1900-009,1900,615424,87.02352317394242,15.325489429816608,89.678954671901,20.227201084130616,116.94593158537853
1900-010,1900,689152,92.6771145159698,13.446590168928543,0.0,0.0,132.23369735559064
1900-011,1900,558000,183.27051395709583,45.35861842188043,58.23751254480287,40.38036738351254,129.96917383512545
1900-012,1900,187000,133.69023332273514,36.12844882029475,0.0,0.0,147.22374331550802
1900-013,1900,336000,44.47551488448698,12.199900657028177,0.0,0.0,94.00159523809523
1900-014,1900,762000,86.86991765510545,15.985146773301642,10.302485564304462,100.25377559055119,124.11311942257218
1900-015,1900,757600,55.80512814220644,12.205132070429405,28.51595828933474,20.2605464625132,150.18719772967265
1900-016,1900,813600,75.77218453305018,16.9595779551908,19.677968289085545,50.19183874139626,160.37783554572272
1900-017,1900,792000,45.35306247345832,10.789475121293952,27.200857323232324,20.07632196969697,146.49097727272726
1900-018,1900,777600,64.60806791875726,15.761000673031647,22.72857896090535,20.063260030864196,177.22297067901235
1900-019,1900,956000,62.871892262922856,12.55415545495308,21.34040271966527,48.60764539748954,128.74916736401673
1900-020,1900,802400,75.8459648848414,13.106174747189964,18.032392821535392,52.14323404785643,108.13942422731805
1900-021,1900,2625558,59.321525879037196,11.774373879227108,0.0,0.0,144.4354106822245
1900-022,1900,1154560,50.58596887851889,10.931315147156155,0.0,0.0,113.98242967017738
1900-023,1900,413184,49.84004024055033,10.930397741586221,0.0,0.0,115.85357855096035
1900-024,1900,13820544,18.19073790048489,4.035732955168537,0.0,0.0,140.76777896731127
1900-026,1900,781312,95.72559184483286,24.48496476846631,0.0,0.0,176.07000916407273
1900-027,1900,8420758,45.59381774831543,9.06756113790765,0.0,0.0,139.63782179704012
1900-028,1900,1028400,91.94503235966276,21.99349885208843,0.0,0.0,112.37474912485415
1900-029,1900,422400,82.43416994652405,17.274123795458113,0.0,0.0,169.4169365530303
1900-030,1900,410880,90.04655963579607,17.737697621239263,0.0,0.0,159.25275262850468
1900-031,1900,3860000,88.52939854958633,15.56621908425162,24.558583419689118,74.03359922279793,154.49787979274612
1900-032,1900,305920,75.54689952644092,19.487285984075914,0.0,0.0,114.3075542625523
1900-033,1900,787456,85.8259613407527,17.579640275352812,0.0,0.0,108.30466464157998
1900-034,1900,6101096,47.83965144026413,6.899458167654808,18.21075836210412,49.84726662225935,155.85051669404973
1900-035,1900,302400,120.89810568421788,26.43168925660394,0.0,0.0,148.8536507936508
1900-036,1900,535680,94.68191445911832,15.775021905921173,0.0,0.0,110.4080626493429
1900-037,1900,2073600,74.01089642959761,13.698317843957403,0.0,0.0,140.15979166666668
1900-038,1900,305280,91.14195715521902,22.122164957541184,0.0,0.0,153.3541470125786
1900-039,1900,708608,62.648135891626204,17.469332190412622,0.0,0.0,131.4832135680094
1900-040,1900,305920,89.83024895294787,17.803622023004912,14.742654942468619,46.85926059100419,162.05585447175733
1900-041,1900,823296,71.56909565528177,14.8431582987944,16.88970552510883,83.40071007268345,185.44403956778606
1900-042,1900,881664,117.4314797255358,27.85061356768198,0.0,0.0,166.16116797328687
1900-043,1900,617472,102.83897837764563,19.077251157886103,69.55806417133084,24.94772880389718,103.0426642827529
1900-044,1900,11234210,29.38111456695994,4.375672799133573,17.58151236268505,74.39097791477994,191.1834139650229
1900-045,1900,238000,117.65435014227067,35.3891228073693,59.64879411764706,19.431159663865547,152.50520168067226
1900-046,1900,1366300,69.54604498907516,11.822275765948717,0.0,0.0,136.91019907780137
1900-047,1900,11644000,21.515271181206636,3.6803536425825176,0.16198557196839575,0.031373668842322226,84.75256904843697
1900-048,1900,872000,101.45086442423907,22.2192904438633,0.0,0.0,128.4386387614679
1900-049,1900,1099520,111.9942474943532,22.141377586717308,0.0,0.0,150.25500309225845
1900-050,1900,313600,93.59434267679633,17.248016041448693,15.81923469387755,109.68132334183673,116.03840880102041
1900-051,1900,765952,65.32639728674248,14.733578875239655,75.99312097886029,42.42676172919452,136.39490464154412
1900-052,1900,546816,81.32030485927199,17.55224980117248,74.80686190601591,5.3857568176498125,196.27101438143725
1900-053,1900,289920,45.55504990948289,9.107209594018169,19.104973785871966,103.17191983995585,181.09371550772627
1900-054,1900,825344,67.95756872907796,16.582068527920008,0.0,0.0,86.72631533033498
1900-055,1900,806912,45.63489132725438,8.329367297370517,21.051257138324875,82.32912882693527,171.11516249603426
1900-056,1900,353890,106.18321790510521,16.340444526049897,0.0,0.0,109.23849218683772
1900-057,1900,314240,78.61559602277424,15.595711750746707,18.10877036659878,81.91655104378819,163.00406695519348
1900-058,1900,273280,209.95865071966182,45.97662398419851,67.51940500585481,52.245283225995315,138.55031469555036
1900-059,1900,1295360,59.642409810644075,14.12937388512674,0.0,0.0,103.92745028409091
1900-060,1900,7478396,32.38820857872419,5.5263416128349725,0.0,0.0,169.95929207279207
1900-061,1900,645120,91.37380827520842,22.512463729140364,21.94645492311508,117.26114211309523,191.86588231646826
1900-062,1900,1282560,116.0220083086823,24.103414935608082,0.0,0.0,139.33554453592814
1900-063,1900,237600,106.10763765496455,15.716660700970474,27.108569023569025,78.10506313131313,115.4726388888889
1901-001,1901,2419956,95.77847394401404,17.835405018241826,18.17058905203235,63.17816852868399,148.2077438598057
1901-002,1901,655422,201.26752565564192,36.36438957856625,0.0,0.0,129.73685045665235
1901-003,1901,423200,108.60626703069367,21.410170496618665,16.627445652173915,114.25300803402646,183.17084829867676
1901-004,1901,919200,33.03600100507256,4.472458975433718,0.0,0.0,125.5103546562228
1901-005,1901,20141034,31.814302746268062,7.167329777656227,0.0,0.0,134.26798509947403
1901-006,1901,282880,90.79049746395157,16.037228998774488,24.28879383484163,77.120591770362,91.42210124434389
1901-007,1901,628736,67.39244277074356,19.407840281190524,0.0,0.0,192.42330485291123
1901-008,1901,705600,76.35270758924457,10.943402415935392,12.172704081632654,70.41806972789115,128.78034155328797
1901-009,1901,1016832,83.52666849935869,16.690097627850967,0.0,0.0,129.44806221676737
1901-010,1901,177056,78.29944838209431,16.951654166371085,0.0,0.0,175.10798278510754
1901-011,1901,346390,75.60522408448942,12.636143725141903,0.0,0.0,132.81536995871704
1901-012,1901,319360,77.63018667388278,17.58027790321689,19.23932239478958,43.835780936873746,191.55718311623247
1901-013,1901,316160,80.43017571829742,13.816443674861135,0.0,0.0,132.81279731781376
1901-014,1901,318080,111.8426069451871,22.011865877763025,95.57658450704226,12.743416750503018,150.48654426559355
1901-015,1901,1254500,26.97462271552214,5.031878314092403,0.0,0.0,67.4440207253886
1901-016,1901,296960,142.74910801483688,25.67911463742694,81.16047615840517,9.511280980603448,107.42915880926724
1901-017,1901,1128960,53.83196986401346,8.759970286046224,0.0,0.0,111.70554404053289
1901-018,1901,817152,112.78065636285906,21.140817880209205,0.0,0.0,105.91133106203007
1901-019,1901,329600,130.69140647579601,27.579872558505027,0.0,0.0,91.4446359223301
1901-020,1901,172500,117.71861049566573,19.89372498868988,0.0,0.0,139.0679420289855
1901-021,1901,286080,140.82568786771466,29.3955809237691,0.0,0.0,99.59725251677852
1901-022,1901,1125120,76.28790647740642,14.382340424935759,37.68349153868032,41.94100895904437,106.80718590017065
1901-023,1901,4286400,47.35043271318472,6.882243081810263,20.455024262784622,43.29395296752519,127.93638694475551
1901-024,1901,1001472,51.17153837729145,11.265650140889266,0.0,0.0,157.87438889953987
1901-025,1901,1172480,162.3996118292465,30.646332942059633,23.911844978165938,47.728670851528385,147.27605161708516
1901-026,1901,3050000,60.78213046359202,11.669223828527137,0.0,0.0,120.76380655737705
1901-027,1901,1056768,83.25717427733149,16.695265682579073,0.0,0.0,135.08363519712935
1901-028,1901,1051648,69.93084941125115,13.376879427279457,0.0,0.0,148.6926699808301
1901-029,1901,257280,111.62673708423337,17.625097780934663,95.28070195895522,22.402098880597016,122.32843983208956
1901-030,1901,1167103,30.358222039312402,7.744576218072932,58.07090291088276,17.53746156080483,110.60214993878004
1901-031,1901,320640,135.94531949622268,34.561259185624806,28.114530314371258,41.0519118013972,141.01210391716566
1901-032,1901,295680,122.85952782867042,21.181941057144826,0.0,0.0,94.88502773268398
1901-033,1901,358400,80.41268390336016,13.602810238895746,0.0,0.0,96.85830636160715
1901-034,1901,428562,49.07668762751045,8.78590943186487,22.252591223673587,88.91029769321592,143.36367666755336
1901-035,1901,268160,105.0883893195232,25.114248288769065,58.91725835322196,37.94131488663484,188.2797285202864
1901-036,1901,7142121,57.82485929316681,7.045479802105983,0.0,0.0,162.53501081821491
1901-037,1901,1036288,89.82322254175841,16.260416098912856,0.0,0.0,138.82778436110425
1901-038,1901,873472,127.99764219334081,22.926365485657414,0.0,0.0,141.5658956440504
1901-039,1901,328960,132.5673283606804,22.840049508477904,0.0,0.0,143.88356943093385
1901-040,1901,701440,46.973898787368476,8.025524158421852,5.284654425182482,42.05620010264599,105.62983576642335
1901-042,1901,870400,67.49444553185052,18.52626374322118,0.0,0.0,145.17761029411764
1901-043,1901,221400,79.9545625174355,14.436992289449902,13.899742547425474,29.13053748870822,155.1707768744354
1901-044,1901,241280,239.90798192317502,56.26675932765295,29.71725381299735,22.219682526525197,161.97838610742704
1901-045,1901,1703295,30.839659569029827,5.929487099717133,0.0,0.0,145.6754660819177
